iter	RMSE
0	0.3543634262
1	0.3432685241
2	0.3338861955
3	0.3248952969
4	0.3161358902
5	0.3074742927
6	0.2996005603
7	0.2919035252
8	0.2843175252
9	0.2766848645
10	0.2697462906
11	0.2634544851
12	0.2573636787
13	0.251052579
14	0.2453659907
15	0.2394304415
16	0.233782301
17	0.228658456
18	0.2243477349
19	0.2197018837
20	0.2154054714
21	0.2111511054
22	0.2073978984
23	0.2033397194
24	0.1997035803
25	0.1960480821
26	0.1929102056
27	0.1894100678
28	0.1866805471
29	0.1835770729
30	0.1803776393
31	0.1776125455
32	0.175308463
33	0.1729130652
34	0.1701475699
35	0.1675622432
36	0.1657264001
37	0.1634506797
38	0.1614779939
39	0.159235209
40	0.1573050435
41	0.155209771
42	0.1534019494
43	0.1514576075
44	0.1497428373
45	0.147773952
46	0.1459556188
47	0.1443402723
48	0.1429851879
49	0.1415305727
50	0.1400031364
51	0.1386500502
52	0.1375143946
53	0.1360465662
54	0.1346882778
55	0.1334606649
56	0.1324011697
57	0.1314275261
58	0.1303454516
59	0.1293268484
60	0.1283949096
61	0.1275981778
62	0.1266837653
63	0.1258853517
64	0.1249743033
65	0.1240413418
66	0.1230992149
67	0.1223899266
68	0.1215792186
69	0.1207878915
70	0.1199563382
71	0.1192783356
72	0.1186157388
73	0.1179237968
74	0.1173172151
75	0.1167971895
76	0.1161143398
77	0.1156185767
78	0.1149916483
79	0.1143719695
80	0.1136375197
81	0.1131688857
82	0.1126247995
83	0.1121638789
84	0.1117182323
85	0.1110672996
86	0.1105400533
87	0.1099916691
88	0.1095637615
89	0.1091126402
90	0.1086662241
91	0.1083022313
92	0.1078908814
93	0.1075144232
94	0.1070934517
95	0.1066706858
96	0.1062446803
97	0.1058660229
98	0.1054564612
99	0.1051227359
100	0.104808955
101	0.1045062077
102	0.1041593806
103	0.1038744082
104	0.1036174799
105	0.1033235608
106	0.1029953731
107	0.1025958032
108	0.1023634972
109	0.1021241164
110	0.1018842463
111	0.1016252984
112	0.1013729032
113	0.1010953248
114	0.1007717673
115	0.1004863627
116	0.1002647104
117	0.09990234671
118	0.09967811525
119	0.09949071725
120	0.09924335577
121	0.0990536797
122	0.09880579645
123	0.09849770634
124	0.0982989127
125	0.09808599584
126	0.09793505481
127	0.09769413543
128	0.09750440347
129	0.09728142114
130	0.09705916472
131	0.09685693194
132	0.0965556608
133	0.09618356555
134	0.09600450319
135	0.09585829776
136	0.09561404455
137	0.09546442892
138	0.09526703198
139	0.09508816678
140	0.09488221837
141	0.09473818112
142	0.0945852
143	0.09442662913
144	0.09422778685
145	0.09406997858
146	0.09391961232
147	0.0936277528
148	0.09339333245
149	0.09314262048
150	0.09299921638
151	0.09283974124
152	0.09261754328
153	0.09245282776
154	0.0923334063
155	0.09223618672
156	0.09209718488
157	0.09189207427
158	0.09169353434
159	0.09147298614
160	0.0913215764
161	0.09120502094
162	0.09108031609
163	0.09089166736
164	0.09075802714
165	0.0906372608
166	0.09052441429
167	0.09035907898
168	0.09025744641
169	0.0901215434
170	0.09000254779
171	0.08984047062
172	0.08971625022
173	0.08958907874
174	0.08946488802
175	0.08933319561
176	0.08921338293
177	0.08913347106
178	0.08904470467
179	0.08891896797
180	0.08878134581
181	0.08866752944
182	0.08854554815
183	0.08838599025
184	0.0882502748
185	0.08814566651
186	0.08804319406
187	0.08796359097
188	0.08785932342
189	0.08775611266
190	0.08765729364
191	0.08755937418
192	0.0874618469
193	0.08733778645
194	0.08714600973
195	0.08704514726
196	0.08689889998
197	0.08679080472
198	0.08667810501
199	0.08657940087
200	0.08647574213
201	0.08637504638
202	0.08627006831
203	0.0861907411
204	0.08609757327
205	0.08602597535
206	0.08593670705
207	0.08585313915
208	0.08574913447
209	0.08564692543
210	0.08554311517
211	0.08543072423
212	0.08532847731
213	0.08517282845
214	0.08507647052
215	0.08502105412
216	0.08494837552
217	0.08477965298
218	0.08465563237
219	0.08456509535
220	0.08448296784
221	0.08439376165
222	0.08427349347
223	0.08418492507
224	0.08410066814
225	0.08402214589
226	0.08395863841
227	0.08388685898
228	0.08377794209
229	0.08364566054
230	0.08357515293
231	0.0834782838
232	0.08338612705
233	0.08328075888
234	0.08317745874
235	0.08308841045
236	0.08294966974
237	0.08289238001
238	0.08279092494
239	0.08272856915
240	0.08265914787
241	0.08258785554
242	0.08250226907
243	0.08242943134
244	0.08235864925
245	0.08227246958
246	0.0821784886
247	0.08207434701
248	0.08199147124
249	0.08190981289
250	0.08181719082
251	0.08175837133
252	0.08169782724
253	0.0816214594
254	0.08156374041
255	0.08145893931
256	0.08140454527
257	0.08134152626
258	0.08127475828
259	0.08119914031
260	0.08113007459
261	0.08105516256
262	0.08100387984
263	0.08094497364
264	0.0809120747
265	0.08082274091
266	0.08074426251
267	0.08066016544
268	0.08054398194
269	0.08049097257
270	0.08041078538
271	0.08037523642
272	0.08031063436
273	0.08024495296
274	0.08019536862
275	0.08013700316
276	0.08003529497
277	0.07995279159
278	0.07989017946
279	0.07983574391
280	0.07979591106
281	0.07969652897
282	0.07959815613
283	0.07952700936
284	0.07943624519
285	0.07932044238
286	0.07926091777
287	0.07919238159
288	0.07912386463
289	0.07906745458
290	0.07901502398
291	0.07893905147
292	0.0788427527
293	0.07877366538
294	0.07870506072
295	0.07861278173
296	0.07855337601
297	0.07849806175
298	0.07846006366
299	0.07841026518
300	0.07834453519
301	0.07828838
302	0.07822546303
303	0.07816048614
304	0.07811843222
305	0.07803693345
306	0.07799230817
307	0.07795322771
308	0.07791436194
309	0.07787531919
310	0.07783802415
311	0.07777329605
312	0.07771764135
313	0.07763520679
314	0.07756954753
315	0.07751937546
316	0.07744943446
317	0.077406998
318	0.07731078203
319	0.07726156219
320	0.07722752231
321	0.07715226051
322	0.07708556562
323	0.07703462079
324	0.076976972
325	0.07692353002
326	0.0768768945
327	0.07679463927
328	0.07674339332
329	0.07667458149
330	0.07659115476
331	0.07656286588
332	0.0764905529
333	0.07643434468
334	0.07635564571
